means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaTime	means.Mu	means.BetaTime	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaTime	std.err.Mu	std.err.BetaTime
BCST	1	-378.135	758.306	0.202	NA	NA	NA	BCST	1	NA	NA	NA	NA	NA	NA
BCSTDCST	2	-363.663	731.433	0.5129	NA	0.41459	NA	BCSTDCST	2	NA	NA	NA	NA	NA	NA
BTimeVar_EXPO	2	-358.492	721.091	0.3245	-0.05741	NA	NA	BTimeVar_EXPO	2	NA	NA	NA	NA	NA	NA
BTimeVarDCST_EXPO	3	-358.492	723.2	0.3244	-0.05743	0	NA	BTimeVarDCST_EXPO	3	NA	NA	NA	NA	NA	NA
BCSTDTimeVar_EXPO	3	-359.934	726.084	0.411	NA	0.24093	0.01553	BCSTDTimeVar_EXPO	3	NA	NA	NA	NA	NA	NA
BTimeVarDTimeVar_EXPO	4	-358.492	725.348	0.3243	-0.05733	0	-0.04281	BTimeVarDTimeVar_EXPO	4	NA	NA	NA	NA	NA	NA
BTimeVar_LIN	2	-360.806	725.719	0.2941	-0.00724	NA	NA	BTimeVar_LIN	2	NA	NA	NA	NA	NA	NA
BTimeVarDCST_LIN	3	-359.159	724.535	0.3088	-0.00751	0.04681	NA	BTimeVarDCST_LIN	3	NA	NA	NA	NA	NA	NA
BCSTDTimeVar_LIN	3	-359.551	725.318	0.3808	NA	0.1881	0.00591	BCSTDTimeVar_LIN	3	NA	NA	NA	NA	NA	NA
BTimeVarDTimeVar_LIN	4	-358.633	725.629	0.369	-0.00875	0.1433	-0.00314	BTimeVarDTimeVar_LIN	4	NA	NA	NA	NA	NA	NA
