"Age" "Altitude"
0 3800
0 3700
0 3700
0 4000
1 3800
1 3700
1 3700
1 3960
2 3700
2 3700
2 3920
2 3800
3 3700
3 3700
3 3880
3 3800
4 3700
4 3700
4 3840
4 3800
5 3700
5 3700
5 3800
5 3800
6 3700
6 5200
6 3760
6 3800
7 3700
7 4560
7 3720
7 3200
8 3700
8 3920
8 3680
8 3000
9 3560
9 3280
9 3640
9 2900
10 3420
10 2640
10 3600
10 2800
11 3280
11 2000
11 3560
11 2800
12 3140
12 1900
12 3520
12 2800
13 3000
13 1800
13 3480
13 2800
14 2600
14 1700
14 3440
14 2800
15 2200
15 1600
15 3400
15 2800
16 1800
16 1500
16 3360
16 2800
17 1400
17 1400
17 3320
17 2800
18 1400
18 1400
18 3280
18 2507
19 1400
19 1400
19 3240
19 2214
20 1400
20 1400
20 3200
20 1921
21 1400
21 1400
21 3160
21 1629
22 1400
22 1400
22 3120
22 1336
23 1300
23 1300
23 3080
23 1043
24 1300
24 1300
24 3040
24 750
25 1300
25 1300
25 3000
25 750
26 750
27 750
28 750
29 750
30 500
31 500
32 500
33 500
34 500
35 400
36 400
37 400
38 400
39 300
40 300
41 300
42 300
43 250
44 250
45 250
46 250
47 200
48 200
49 200
50 200
51 150
52 150
53 150
54 150
55 100
56 100
57 100
58 100
59 50
60 50
61 50
62 50
63 0
64 0
65 0
66 0
