Age	Level
0.000	0.0
0.001	0.0
0.002	3.3
0.003	-4.0
0.004	-4.7
0.005	-2.0
0.006	-6.7
0.007	-9.3
0.008	-12.7
0.009	-10.0
0.010	-19.33
0.011	-24.67
0.012	-46.00
0.013	-55.33
0.014	-70.00
0.015	-84.00
0.016	-101.33
0.017	-110.00
0.018	-119.33
0.019	-115.33
0.020	-117.33
0.021	-112.00
0.022	-110.00
0.023	-108.67
0.024	-105.33
0.025	-106.00
0.026	-96.00
0.027	-101.33
0.028	-101.33
0.029	-100.00
0.030	-92.67
0.031	-92.67
0.032	-91.33
0.033	-90.00
0.034	-90.67
0.035	-87.33
0.036	-81.33
0.037	-82.00
0.038	-78.67
0.039	-88.00
0.040	-88.00
0.041	-85.33
0.042	-84.67
0.043	-82.00
0.044	-83.33
0.045	-73.33
0.046	-75.33
0.047	-76.67
0.048	-81.33
0.049	-82.00
0.050	-74.00
0.051	-73.33
0.052	-72.00
0.053	-80.67
0.054	-76.67
0.055	-72.00
0.056	-74.67
0.057	-80.00
0.058	-84.00
0.059	-80.00
0.060	-91.33
0.061	-85.33
0.062	-91.33
0.063	-86.67
0.064	-75.33
0.065	-83.33
0.066	-89.33
0.067	-80.67
0.068	-79.33
0.069	-82.67
0.070	-72.67
0.071	-66.00
0.072	-65.33
0.073	-66.67
0.074	-53.33
0.075	-48.00
0.076	-55.33
0.077	-56.67
0.078	-54.67
0.079	-54.67
0.080	-44.67
0.081	-39.33
0.082	-38.00
0.083	-40.00
0.084	-39.33
0.085	-48.00
0.086	-55.33
0.087	-63.33
0.088	-58.67
0.089	-56.67
0.090	-55.33
0.091	-53.33
0.092	-50.00
0.093	-44.67
0.094	-40.67
0.095	-36.00
0.096	-34.67
0.097	-40.00
0.098	-44.67
0.099	-36.67
0.100	-38.67
0.101	-46.00
0.102	-42.00
0.103	-43.33
0.104	-46.00
0.105	-41.33
0.106	-51.33
0.107	-54.00
0.108	-58.67
0.109	-59.33
0.110	-54.00
0.111	-52.67
0.112	-53.33
0.113	-46.67
0.114	-38.67
0.115	-32.00
0.116	-23.33
0.117	-20.67
0.118	-14.00
0.119	-4.67
0.120	-2.67
0.121	-2.00
0.122	3.33
0.123	8.67
0.124	-2.67
0.125	6.00
0.126	4.67
0.127	-9.33
0.128	-32.00
0.129	-44.67
0.130	-29.33
0.131	-38.67
0.132	-64.67
0.133	-78.67
0.134	-98.00
0.135	-108.67
0.136	-106.00
0.137	-104.67
0.138	-110.67
0.139	-109.33
0.140	-116.67
0.141	-105.33
0.142	-101.33
0.143	-103.33
0.144	-106.00
0.145	-100.67
0.146	-102.67
0.147	-106.00
0.148	-98.67
0.149	-101.33
0.150	-101.33
0.151	-95.33
0.152	-94.00
0.153	-92.67
0.154	-95.33
0.155	-85.33
0.156	-103.33
0.157	-100.67
0.158	-97.33
0.159	-95.33
0.160	-97.33
0.161	-94.67
0.162	-95.33
0.163	-98.00
0.164	-96.67
0.165	-96.67
0.166	-83.33
0.167	-78.67
0.168	-83.33
0.169	-84.67
0.170	-84.67
0.171	-86.67
0.172	-82.00
0.173	-76.67
0.174	-70.00
0.175	-72.67
0.176	-77.33
0.177	-82.00
0.178	-80.67
0.179	-83.33
0.180	-77.33
0.181	-82.00
0.182	-83.33
0.183	-76.00
0.184	-78.00
0.185	-90.67
0.186	-82.67
0.187	-78.00
0.188	-82.00
0.189	-77.33
0.190	-70.00
0.191	-60.00
0.192	-35.33
0.193	-46.00
0.194	-40.67
0.195	-45.33
0.196	-39.33
0.197	-34.00
0.198	-39.33
0.199	-22.67
0.200	-20.00
0.201	-20.00
0.202	-26.67
0.203	-25.33
0.204	-36.67
0.205	-39.33
0.206	-36.00
0.207	-36.67
0.208	-32.00
0.209	-27.33
0.210	-22.67
0.211	-24.67
0.212	-25.33
0.213	-28.00
0.214	-22.00
0.215	-20.67
0.216	-20.00
0.217	-16.67
0.218	-32.67
0.219	-47.33
0.220	-50.00
0.221	-66.67
0.222	-76.67
0.223	-80.67
0.224	-77.33
0.225	-70.00
0.226	-70.67
0.227	-64.00
0.228	-64.00
0.229	-52.67
0.230	-71.33
0.231	-66.00
0.232	-62.67
0.233	-49.33
0.234	-40.67
0.235	-32.00
0.236	-28.67
0.237	-16.00
0.238	-18.67
0.239	-14.00
